iter	RMSE
148	72.92111709
149	72.83393207
150	72.78030712
151	72.67944231
152	72.63561652
153	72.60025353
154	72.54389804
155	72.44334019
156	72.36357405
157	72.30897207
158	72.24190477
159	72.18358152
160	72.15216268
161	72.10531173
162	72.0677043
163	72.02424341
164	71.96635736
165	71.9289455
166	71.90281898
167	71.84730817
168	71.79788809
169	71.74317594
170	71.62797446
171	71.56029345
172	71.52517283
173	71.45694906
174	71.41918402
175	71.35995178
176	71.26203894
177	71.23520167
178	71.18887525
179	71.15053656
180	71.1102521
181	71.03810135
182	70.98856564
183	70.96898173
184	70.92484319
185	70.878198
186	70.83505638
187	70.80182292
188	70.7682496
189	70.7371544
190	70.67986366
191	70.64429374
192	70.60932523
193	70.57904395
194	70.53707446
195	70.51004361
196	70.45681871
197	70.43426828
198	70.39067533
199	70.3350611
200	70.28179478
201	70.22282904
202	70.19836918
203	70.17419318
204	70.14202223
205	70.11382512
206	70.08367126
207	70.03384599
208	69.97899125
209	69.93151206
210	69.88922163
211	69.8627527
212	69.83835295
213	69.79669842
214	69.77273508
215	69.72625717
216	69.69452023
217	69.65323528
218	69.5849548
219	69.55967592
220	69.51216313
221	69.4832903
222	69.45513923
223	69.42668889
224	69.38326081
225	69.36558933
226	69.32694585
227	69.28555899
228	69.25865157
229	69.23354129
230	69.19817067
231	69.14574159
232	69.09660491
233	69.02427177
234	69.00645781
235	68.95969734
236	68.93349584
237	68.91628426
238	68.87312588
239	68.84075648
240	68.82221306
241	68.78710412
242	68.76320992
243	68.73251352
244	68.69522135
245	68.66940461
246	68.62729618
247	68.60478899
248	68.56725184
249	68.55113134
250	68.50429643
251	68.46155571
252	68.43254059
253	68.41614105
254	68.38299804
255	68.35734539
256	68.32269973
257	68.26169685
258	68.23061618
259	68.20870492
260	68.17269592
261	68.14459105
262	68.1186084
263	68.09516219
264	68.08185661
265	68.05239728
266	68.00810577
267	67.99392314
268	67.96694933
269	67.94588739
270	67.92043744
271	67.90867938
272	67.85407101
273	67.82570202
274	67.81051084
275	67.79395456
276	67.75553982
277	67.74707885
278	67.72626031
279	67.70366423
280	67.68231461
281	67.65489267
282	67.61119953
283	67.5841295
284	67.56191757
285	67.54166692
286	67.51917953
287	67.49711784
288	67.46785186
289	67.41669767
290	67.3984144
291	67.37360139
292	67.32057115
293	67.25641572
294	67.22511155
295	67.19614967
296	67.17716647
297	67.15488164
298	67.11675064
299	67.08286078
300	67.0574765
301	67.04049437
302	67.01347766
303	66.97809424
304	66.94458003
305	66.9239547
306	66.8785525
307	66.85569887
308	66.83829425
309	66.81293495
310	66.79105149
311	66.76278262
312	66.74846038
313	66.72160319
314	66.69757943
315	66.67909225
316	66.64752949
317	66.63264868
318	66.60469807
319	66.58514243
320	66.56523772
321	66.54243655
322	66.5170857
323	66.50021401
324	66.46063743
325	66.43743626
326	66.4087919
327	66.38396499
328	66.35860923
329	66.34519244
330	66.31789665
331	66.29693595
332	66.27370153
333	66.25573022
334	66.23212357
335	66.20272239
336	66.1708574
337	66.15213911
338	66.12217726
339	66.09557585
340	66.05784408
341	66.04076037
342	66.01277113
343	65.99428863
344	65.96104211
345	65.93536739
346	65.90375717
347	65.87033388
348	65.85014725
349	65.82444904
350	65.78588736
351	65.76519409
352	65.74808443
353	65.69398346
354	65.67366717
355	65.6584703
356	65.64092833
357	65.62605057
358	65.60302739
359	65.58555475
360	65.56924233
361	65.54783954
362	65.52194129
363	65.49701161
364	65.47411602
365	65.432619
366	65.41924009
367	65.39815312
368	65.38135791
369	65.34422872
370	65.31530112
371	65.2738705
372	65.23937766
373	65.21910455
374	65.19773509
375	65.18678359
376	65.16413277
377	65.13367387
378	65.11314139
379	65.09433556
380	65.07441782
381	65.05361662
382	65.04376508
383	65.02347906
384	65.00917109
385	64.97284125
386	64.93264678
387	64.91288887
388	64.89365159
389	64.87811404
390	64.8624825
391	64.84182558
392	64.82885787
393	64.80065072
394	64.79100217
395	64.76912532
396	64.74130176
397	64.72435521
398	64.70645148
399	64.68132438
400	64.63575515
401	64.61356971
402	64.59132846
403	64.56558654
404	64.5476566
405	64.52994815
406	64.51732603
407	64.50517333
408	64.48534995
409	64.46023795
410	64.44104726
411	64.40734982
412	64.39010567
413	64.36435493
414	64.3499559
415	64.3265031
416	64.31005684
417	64.29817112
418	64.2842655
419	64.26566106
420	64.23367993
421	64.21211393
422	64.19422806
423	64.17942603
424	64.1674854
425	64.15886267
426	64.14487052
427	64.11919636
428	64.10397388
429	64.08904364
430	64.06833044
431	64.04072028
432	64.01331007
433	64.00527497
434	63.99007051
435	63.95433189
436	63.94248597
437	63.92430344
438	63.91492417
439	63.89325177
440	63.87013646
441	63.84498203
442	63.81248632
443	63.77720605
444	63.75877479
445	63.71441791
446	63.69714496
447	63.69219554
448	63.6783873
449	63.66530473
450	63.64043438
451	63.62699375
452	63.61630483
453	63.60047379
454	63.57867116
455	63.54938344
456	63.52162225
457	63.50751057
458	63.48683689
459	63.47401414
460	63.46485233
461	63.44423551
462	63.41591473
463	63.4029525
464	63.38069204
465	63.37036943
466	63.36274451
467	63.34372517
468	63.31262433
469	63.30409057
470	63.29458687
471	63.27371691
472	63.25781911
473	63.24202105
474	63.22186978
475	63.1978881
476	63.17481261
477	63.14845254
478	63.1298155
479	63.11615584
480	63.10269281
481	63.08453379
482	63.06551508
483	63.05140653
484	63.02837916
485	63.0082679
486	62.99472408
487	62.96981086
488	62.94968171
489	62.94018226
490	62.91632232
491	62.89525702
492	62.88085843
493	62.86262912
494	62.84539288
495	62.8342526
496	62.81413715
497	62.78851883
498	62.77158162
499	62.75037463
