iter	RMSE
0	345.9442318
1	331.1994712
2	317.2300929
3	303.9887837
4	291.4843324
5	279.6033699
6	268.4493157
7	257.7442394
8	247.7241735
9	238.1639637
10	229.0260717
11	220.3900878
12	212.3594938
13	204.7582568
14	197.4937626
15	190.6968457
16	184.3505295
17	178.3177201
18	172.6671132
19	167.3616591
20	162.3317885
21	157.5526295
22	153.1317652
23	148.9009555
24	144.854837
25	141.0707252
26	137.6495702
27	134.4293949
28	131.2816092
29	128.316715
30	125.5087483
31	122.9266053
32	120.5404821
33	118.1828115
34	115.9548401
35	113.9902036
36	112.0280327
37	110.0903282
38	108.3121286
39	106.6859749
40	105.1171432
41	103.6208794
42	102.2773286
43	100.9907842
44	99.78051983
45	98.63153925
46	97.58293105
47	96.56373429
48	95.60437018
49	94.72395904
50	93.85889397
51	93.08055281
52	92.34652314
53	91.65866966
54	91.02013489
55	90.36950027
56	89.74635177
57	89.18886658
58	88.67376568
59	88.0994785
60	87.53477311
61	87.10209163
62	86.58733957
63	86.15605086
64	85.73342701
65	85.30722966
66	84.89265941
67	84.53200336
68	84.17241299
69	83.82196918
70	83.50324811
71	83.15626416
72	82.84405243
73	82.55804734
74	82.27132682
75	82.01025826
76	81.77542572
77	81.54994553
78	81.31393349
79	80.99594525
80	80.75641717
81	80.51869379
82	80.30589546
83	80.1227738
84	79.85320748
85	79.65542402
86	79.40491515
87	79.22872743
88	79.08245189
89	78.93322147
90	78.70015452
91	78.54275041
92	78.35867318
93	78.20922605
94	78.07789774
95	77.94659398
96	77.76075942
97	77.63864365
98	77.49000553
99	77.31925979
100	77.19350392
101	77.07886895
102	76.93480547
103	76.83475438
104	76.68475324
105	76.57091228
106	76.44153791
107	76.26870508
108	76.14849624
109	76.04418458
110	75.93583456
111	75.83575417
112	75.74306735
113	75.64205344
114	75.50926629
115	75.43620772
116	75.32918474
117	75.24629126
118	75.1744033
119	75.03462894
120	74.93905155
121	74.88440557
122	74.76918458
123	74.71016833
124	74.63168152
125	74.5695574
126	74.42241019
127	74.29845166
128	74.22861362
129	74.15970532
130	74.0472179
131	73.99376267
132	73.92844562
133	73.83125008
134	73.75370767
135	73.69917997
136	73.63298122
137	73.58276908
138	73.53014108
139	73.48992368
140	73.44686772
141	73.39426827
142	73.329056
143	73.26785441
144	73.20523174
145	73.15086769
146	73.0790777
147	73.03738754
